date,strategy,equal_weight,sp500
2025-01-02,1.0151207303937686,0.9991466532876703,1.0
2025-01-03,1.0505569718809107,1.0134600542469434,1.012596026721492
2025-01-06,1.0628389766251054,1.0196317454580963,1.0182038291708233
2025-01-07,1.0446520278418592,1.0121574242988296,1.006897782555482
2025-01-08,1.0341019912299385,1.0124177287382365,1.0084689057717124
2025-01-10,1.0104613355065457,0.9971295641945906,0.9929267422094903
2025-01-13,1.004543703796291,0.9996327567484355,0.9944910427755207
2025-01-14,1.0063687713014104,1.0048484135165465,0.9956310077803173
2025-01-15,1.0335934609008353,1.0235995156998923,1.013863791612966
2025-01-16,1.0267380414666365,1.0278616220205816,1.0117218122622993
2025-01-17,1.0454667864864549,1.0384184012200706,1.0218299845491934
2025-01-21,1.0650934079197452,1.0532561076847067,1.030789621917015
2025-01-22,1.0998041613405825,1.0626190480614468,1.0371165483380607
2025-01-23,1.0941006270402795,1.0703438977409032,1.0426272528266156
2025-01-24,1.0847515994761898,1.0664187336696975,1.0396504140599845
2025-01-27,1.0404634264749535,1.047991196284624,1.0244915669547434
2025-01-28,1.0395273879425524,1.0510153765435928,1.033935196471525
2025-01-29,1.0406974029113192,1.049775925684988,1.0290975214643072
2025-01-30,1.0583938250674119,1.0643209723443323,1.0345264373535106
2025-01-31,1.060906099006428,1.0606618512269086,1.0293053626862605
2025-02-03,1.0550041755774575,1.0554805245109469,1.0214737922869108
2025-02-04,1.0513507453058695,1.062264070682714,1.028853819727277
2025-02-05,1.0467250360884603,1.0697461899464344,1.032875272802004
2025-02-06,1.0480380301241565,1.0741403515263186,1.0366393788393007
2025-02-07,1.037918997126329,1.0664817238636375,1.0268278254300143
2025-02-10,1.0425173832265549,1.0758722885460494,1.0337204493963204
2025-02-11,1.0346370958576083,1.0756935566357884,1.034071483069427
2025-02-12,1.0361693455232561,1.075315301441895,1.0312548101763988
2025-02-13,1.0439686275702948,1.0894350743780705,1.0420069740797535
2025-02-14,1.0562923047426171,1.089815484836145,1.0419320081306023
2025-02-18,1.0631783073732344,1.0998705466297665,1.0444795191529264
2025-02-19,1.0845876187892116,1.101868983901003,1.0469622149983484
2025-02-20,1.0883308442058006,1.094009362263997,1.0424244869907868
2025-02-21,1.070402725229295,1.0735554133080325,1.0246364234669214
2025-02-24,1.058206625839688,1.0655175232255758,1.0195448959504243
2025-02-25,1.0407243349571385,1.0593256437780099,1.014773700181133
2025-02-26,1.043974519373311,1.0601778265831427,1.0149117340431109
2025-02-27,1.0106995630045996,1.0446531932453302,0.9988106123827774
2025-02-28,1.0242069409019172,1.0602282499696398,1.0146459002944557
2025-03-03,1.0008559004841617,1.0439204859190347,0.9967914407357147
2025-03-04,0.9931291499745347,1.027028924221041,0.9845958702997556
2025-03-05,1.0120794579785348,1.0379006468359666,0.9955832492289157
2025-03-06,0.9855286508339353,1.0126601242004278,0.9778429442564518
2025-03-07,0.9932609808061346,1.0181369341950977,0.9832412414228054
2025-03-10,0.9603963362032767,0.9899932905385032,0.9567201856426479
2025-03-11,0.9680125494238646,0.983630729150146,0.9494798561252838
2025-03-12,0.9881192974470946,0.9921484913064545,0.9541198406827975
2025-03-13,0.9742877770694818,0.9825061520237126,0.9408661770444445
2025-03-14,1.0027959050171649,1.0047546055543009,0.9608745139901771
2025-03-17,1.0181144221413083,1.017301294728537,0.9670396104765954
2025-03-18,1.0068936315613817,1.0082579444557116,0.9567372422681485
2025-03-19,1.0196992594716565,1.0197018311503143,0.9670685651384208
2025-03-20,1.0231224006490334,1.0180129900258643,0.9649556236526305
2025-03-21,1.0225003839923603,1.0167791248457305,0.9657513776345206
2025-03-24,1.051886881301473,1.0356663300709534,0.982793026585871
2025-03-25,1.053001744333233,1.0352823302031962,0.9843402705264007
2025-03-26,1.031113273063418,1.021645171877624,0.9733580501864164
2025-03-27,1.0152084611966394,1.014385305296746,0.9701391737437796
2025-03-28,0.9958428996757964,0.9955875162897772,0.9509913227537881
2025-03-31,0.9994995655930516,1.000463235814119,0.9562584087083642
2025-04-01,1.0053937078149153,1.0022154936354892,0.9598742469083826
2025-04-02,1.0217812587884565,1.0102783384681941,0.9663324677442571
2025-04-03,0.9585944872490632,0.9560129950648691,0.9195661959315372
2025-04-04,0.870380140127813,0.8899385174234623,0.8646224786355365
2025-04-07,0.8793193250823403,0.8938390393995225,0.8626066351105228
2025-04-08,0.8603419151830207,0.8811287513299828,0.8490632584478138
2025-04-09,0.9982023209425992,0.9690877278829185,0.9298549188395837
2025-04-10,0.9286510608149136,0.9315861009846874,0.897674890733593
2025-04-11,0.9343521245691737,0.9438968097077656,0.9139157103169288
2025-04-14,0.9380206409801544,0.9536884468903818,0.9211765077848935
2025-04-15,0.9449311689390282,0.9554729100548651,0.9195849166180622
2025-04-16,0.9215785923247581,0.937228476235016,0.8989785161401439
2025-04-17,0.9274337081662698,0.9404009924750831,0.9001713150824667
2025-04-21,0.9038398736100198,0.9190085528205959,0.878956533894011
2025-04-22,0.9364983444803626,0.941846270971692,0.9010334650992321
2025-04-23,0.9699444971200682,0.9611860010607467,0.9160457084282195
2025-04-24,1.0090790217635357,0.9865426535890583,0.9346039825972499
2025-04-25,1.0224690683408748,0.9911395756906792,0.9414949425025314
2025-04-28,1.024956138004008,0.9940225017008878,0.9420981646238931
2025-04-29,1.0282994355861288,0.9992659871395916,0.9475646050891978
2025-04-30,1.0173438983848775,1.0037756019920985,0.9489669925175496
2025-05-01,1.0288449111071845,1.0047419164482936,0.9549446325295641
2025-05-02,1.0526136835080513,1.0255801324124283,0.9690076954502076
2025-05-05,1.0439606119463398,1.021674755643637,0.9628238782772642
2025-05-06,1.0095039798006593,1.0114262255378923,0.9554166434391482
2025-05-07,1.0122266391861874,1.0157881523592394,0.9595692245226017
2025-05-08,1.0195670209017718,1.0218924404496303,0.9651345102127585
